created_at,id,text,favorite_count,retweet_count,user_id_str,user_name,user_screen_name,user_location,user_description,user_friends_count,user_followers_count,hashtags,mentions
Fri Aug 19 23:00:20 +0000 2016,7.67E+17,"Trump can’t tell the difference between terrorists, refugees, and normal visa seekers: https://t.co/alPD5RNnJd https://t.co/Q7LX0t12mI",54,71,16012783,The Daily Beast,thedailybeast,"New York, NY","Independent. Intelligent. Influential. Send tips to tips@thedailybeast.com.

Become a member: https://bit.ly/BeastMembership",992,1311743,Immigration|Refugees|Terrorists,Raddmom|hanktastic1776
Fri Aug 19 18:10:30 +0000 2016,7.67E+17,Can an #Airbnb for refugees help ease Europe's crisis?  https://t.co/jiVEFs6Zkx #sharingeconomy,3,7,28526621,Sara Green Brodersen,SaraBrodersen,"London, England",Co-founder & CEO of @financecanaree // #fintech #startups,170,1347,Airbnb|sharingeconomy,
Fri Aug 19 16:44:11 +0000 2016,7.67E+17,"In the first ad of his campaign, Trump attacks Syrian refugees and immigrants. Truly a depraved individual https://t.co/VAEZkbRa0q",1,4,247153850,Rebecca Abou-Chedid,bintlabaratte,Cleveland - Beirut - DC,"Raised in an American home with a Lebanese kitchen - Attorney by trade, activist at heart - Organizer of the @Lebanon_Relief Campaign - Cleveland sports fanatic",550,504,,
Fri Aug 19 17:00:21 +0000 2016,7.67E+17,Can an Airbnb for refugees help ease Europe's crisis? https://t.co/lMjDEudFcO,2,3,19962813,CNBC Tech,CNBCtech,San Francisco,Follow for the latest tech news from Silicon Valley and around the world.,140,65493,EU|MigrantsDay|TRALIM|asylum|immigration|lawyers,
Fri Aug 19 22:20:04 +0000 2016,7.67E+17,The World Is Failing Refugees from Nauru to the U.S. | TIME https://t.co/QMniKN24mz,1,2,172867574,Rick Cooley,rcooley123,"Wilkes-Barre, PA","Progressive, antiwar, humanitarian, environmentalist, civil liberties, human rights, Down Syndrome.  #ConnectTheLeft. 
 Backup account @cooleyrj",138611,139907,,
Fri Aug 19 18:37:53 +0000 2016,7.67E+17,Manitoba Interfaith Immigration Council has a new program 'family to family matching' with newly arrived refugees.https://t.co/ClaXX0fs0A,0,2,7.22E+17,MANSO,mansomanitoba,Manitoba | Treaty 1 Territory,Umbrella organization for newcomer-serving organizations in Manitoba | Support our members and the settlement & integration sector | 📬http://eepurl.com/cV459T,352,745,,SpeakerRyan|realDonaldTrump|sassysassyred|senatemajldr
Fri Aug 19 19:36:59 +0000 2016,7.67E+17,"Hillary, plan...make Dem voters from 500,000 refugees, prisoners, illegals &amp; make the entire country like Virginia https://t.co/fVCFQ2MFWS",0,1,3860300246,Eddie Jillette,methanedetector,,"USAF Vet, SAC, 8th Air Force, 305th bomb wing, B58, 
2A, voter. Winners: DJT, Military, closed borders;  Losers: illegals, Swamp Dwellers; Liberal universities",1919,1646,Khartoon|cartoon|illustrationfriday|immigration|poster|refugees,
Fri Aug 19 16:11:18 +0000 2016,7.67E+17,Check out @noahfilipiak's interview with @MatthewSoerens &amp; closing poem by @JacobMauMusic: https://t.co/slc6aPSEfc,2,1,117533399,Liz Dong,gnodzil,,Immigration @worldrelief & @natimmforum. Learning Phil 1:27. Tweets my own,361,659,,MatthewSoerens|noahfilipiak
Fri Aug 19 23:41:01 +0000 2016,7.67E+17,"RT @thedailybeast: Trump can’t tell the difference between terrorists, refugees, and normal visa seekers: https://t.co/alPD5RNnJd https://t…",0,0,308167371,(((Rebecca Day))),Rdday91191,California,PROGRESSIVE 66EX-F/A/mom. #dialysis patient & now pulminary fibrosis too.  Told I have 3yrs to live. Hate Trump. Corp have ruined  news.,248,162,Auspol|BlockTheBill|Immigration|Refugees,
Fri Aug 19 19:36:18 +0000 2016,7.67E+17,RT @Gr8LakesCzarina: Is Obama a Soros puppet on immigration? https://t.co/MnDefZ5Oof,0,0,4260720134,Jeff Bain,JeffBain6,"Texas, USA","Just a man with a dream to see America free again. Marine Dad, MAGA.",1181,937,,
Sun Aug 28 21:46:37 +0000 2016,7.70E+17,"#Germany's federal immigration office anticipates at most 300000 #refugees in 2016, said its top immigration officer https://t.co/rGntwYqKo2",35,13,303862998,"People's Daily, China",PDChina,"Beijing, China",The largest newspaper in China,4542,7053116,,willowhalegreen
Sun Aug 28 14:14:20 +0000 2016,7.70E+17,"Great chats yesterday about immigration and refugees, youth engagement,public service and climate. #ChatWithCath https://t.co/2iwa2QxtN3",19,2,4362293957,Catherine McKenna’s Community Office,CMcKennaOttawa,Ottawa Centre,"Community Office for @CathMcKenna. Bureau communautaire pour @CathMcKenna. MP/Députée, Ottawa Centre. 107 rue Catherine Street, Ottawa ON, K2P 0P4, 613-946-8682",968,2807,Immigrants|Immigration|Trump|ccot|p2|pjnet|tcot|tgdn,
Sun Aug 28 16:40:20 +0000 2016,7.70E+17,"My latest on #refugees, ""The Justice of the Immigration Court &amp; the Power of its Judge King"" https://t.co/FjW9IfJ2h4 https://t.co/kLKKXDGltH",1,2,1042715258,Ana M Fores Tamayo,anamfores,"Keller, Texas","Educator, translator, activist, friend                                     FB:https://t.co/CIcIOUvhhN BLOGGER
https://t.co/cSASAawzD8    https://t.co/3TxUohQOVB",502,808,,
Sun Aug 28 17:56:36 +0000 2016,7.70E+17,The Utah story is full of immigration and refugees. The Utah story is the opposite of what Trump stands for. #utpol,4,2,805307714,Mormon Liberals,LdLiberals,in a ward near you,"Cofounder and contributor at @MormonPress. Member of the #religiousleft. ""Therefore they were liberal to all"" -Alma 1:30",1517,3600,,VICE|jakenaughton
Sun Aug 28 18:06:25 +0000 2016,7.70E+17,I'd like all those who voted #Brexit because of fear of refugees/immigration to read this.  It's decency. https://t.co/2cmDzPC08N,1,2,61291762,Tina,ChristinaMaroc,"Agadir, Morocco",🇬🇧Everyone you meet is fighting a battle you know nothing about.  Be kind. Always.🇲🇦,2822,1732,,
Sun Aug 28 17:35:46 +0000 2016,7.70E+17,#dcrally4refugees #immigration #refugees Message of welcome! https://t.co/KBxHs6VMlY,1,2,52091421,USCRI,USCRIdc,"Washington, DC","Everyone, Everywhere, Equal Value http://facebook.com/uscri",2142,4254,6degreesTO,
Sun Aug 28 14:43:27 +0000 2016,7.70E+17,USA immigration system needs to become more tolerant towards transgender refugees. We live in fear &amp; it's harder for us. #DCRally4Refugees,4,1,2239889683,VB. Giovanni,bruna_giovanni,"Atlanta, GA","Transgender female vegan who's very into wellness.
Nikken Health Sales agent and would love the support.
Youtube: VB Giovanni
CashApp: $BrownButterfly92",893,820,Refugee|refugees,CounterJihadUS
Sun Aug 28 21:58:25 +0000 2016,7.70E+17,just what US needs more Syrian refugees stop Muslim immigration till better Vetting Protect our kids &amp; women! https://t.co/UdlE3pAPiu,0,1,530935695,Jeanette,LivelyLively,"Colorado, USA","Can't we all just get along?
😂🤣😂🤣🤣😎",815,978,,
Sun Aug 28 13:55:35 +0000 2016,7.70E+17,"#MakeaMovieIslamic The Calais Chainsaw Massacre, Brit driver's warning as confronted by migrants with CHAINSAWS https://t.co/kJD7idSHuy",0,1,425181608,Canada++ or WTO! Stop the Steal!,MorpheusThink,"England, United Kingdom",ClassicalLiberal-Nationalist-ChristianAtheist-#ProLife-AGWSceptic-Republican ♥=#Brexit-#Trump-FossilFuel-1A-#2A-1776-Israel/H8=Terror-Globalism-OverPopMyth-Weed,4999,1723,SHUTDOWNMANUS|asylumseekers|auspol|refugees,
Sun Aug 28 12:43:49 +0000 2016,7.70E+17,“Immigration is about more than politics: It's about making vulnerable newcomers to the country feel at home.” https://t.co/QBWQwwtKKB,6,1,1186911,Eric Stoller,EricStoller,"Seminole, FL",Higher Education ➡️ Digital Engagement. #EdTech. DMs are open. 👋 Live: 🇺🇸 Work: 🌍🌎🌏 Married to GS. ❤️ J’s dad. ❤️,2988,24379,German|Muslim|President|immigration|islam|p2|refugees,
Thu Sep 01 21:00:20 +0000 2016,7.71E+17,“There remains an underlying racist sentiment in the immigration and refugee debate.” https://t.co/XVf2yz7oFD #Brexit via @WritersofColour,13,19,53339966,Senthorun Raj ✨,senthorun,"Manchester, England",Dr Sparkles ✨ | Professional Gay 🏳️‍🌈 | Tamil Queen 🦄 | He/Him 💁🏾‍♂️                             PS: I represent no one.,898,14102,Brexit,WritersofColour
Thu Sep 01 20:36:06 +0000 2016,7.71E+17,"Immigration Reading List: Against Racism, Against Borders—Refugees and Migrants Welcome! https://t.co/5qg9aQjQWg https://t.co/dkM4LJpjaa",8,5,23187207,Verso Books,VersoBooks,London & New York,"Verso Books is the largest independent, radical publishing house in the English speaking world.",5465,110766,Refugee|refugees,CounterJihadUS
Thu Sep 01 21:36:41 +0000 2016,7.71E+17,"Cameron promised to take in 20,000 Syrian refugees. What have the Tories actually delivered? - https://t.co/sbAxzq0zUK",3,5,19287584,Michael,therightarticle,,Nobody is going to pour truth into your brain. It's something you have to find out for yourself.,9162,16000,,
Thu Sep 01 23:22:17 +0000 2016,7.71E+17,Excellent video on the strength skills and talent that refugees bring to our community #integration #immigration https://t.co/HCUItxzd3B,4,3,2447216846,AngeliqueReddyKalala,MonctonMyHome,Moncton,,2381,1155,immigration|integration,
Thu Sep 01 22:32:41 +0000 2016,7.71E+17,Anyone who considers voting against immigration of refugees needs to read this first https://t.co/yEqHi3UchZ,5,2,107396736,Conor McGrane,ConorTMcGrane,"North County Dublin, Ireland","Father of 2 great boys, Husband, Cyclist, GP. Good at some bad at others but trying to get better #YNWA",3313,3695,Refugees,
Thu Sep 01 18:31:40 +0000 2016,7.71E+17,"Despite #immigration critics, Syrian refugees in Southern California are settling in https://t.co/dQD6Zkr2th via @kpcc",2,2,170090195,Leslie Berestein Rojas,Multi_American,"Pasadena, Calif.","I report on immigration and emerging communities for @KPCC in Los Angeles. Latina, parent, 1.5 gen, Eastside. Más café, please.",665,3036,Immigration|Refugees|TuesdayThoughts,
Thu Sep 01 20:32:46 +0000 2016,7.71E+17,ICYMI! #andreakayeshow Price of a #Hillary win #refugees #immigration #Trump #Kaepernick @tomdelbeccaro @realside  https://t.co/TlWT0Y9iNM,2,2,501060187,andrea kaye 💥🧨🍩🇺🇸,andreakayeshow,"San Diego, CA","Don't stop the combine for the field mice

Typos are my own",7572,13731,Refugee|refugees,CounterJihadUS
