created_at,id,text,favorite_count,retweet_count,user_id_str,user_name,user_screen_name,user_location,user_description,user_friends_count,user_followers_count,hashtags,mentions
Thu Jan 01 15:57:31 +0000 2015,5.50682E+17,"NEW | 1,063 Syrian refugees resettled in Canada: http://t.co/pTz1mOi3gv #cdnpoli #hw",3,5,74186967,CBC Politics,CBCPolitics,"Ottawa, CANADA",The CBC's Parliamentary Bureau on Twitter (photo: Patrick Morrell/CBC),303,223281,,
Thu Jan 01 14:57:15 +0000 2015,5.50667E+17,"Amarillo,TX: Unbelievably frank description of a refugee overloaded city, #refugees #immigration http://t.co/1zjLyVmtJH via @wordpressdotcom",1,4,1209148250,Ann Corcoran 🇺🇸,RefugeeWatcher,Maryland,"Refugee Resettlement Watch is back!  The speech police thought they had killed my 12 years of work, but they have not succeeded!",1034,16527,,NoXenophobia
Wed Dec 31 15:59:20 +0000 2014,5.5032E+17,#Palestinian refugees cannot return to their lands but Jewish immigration to Israel hits 10-year high http://t.co/lE3r2c4Td0,0,3,1864042958,Love 4 Palestine,WithPalestine,"Jerusalem, PALESTINE","The Palestinian cause is not for Palestinians only, but a cause for every revolutionary, as a cause of the exploited and oppressed masses. Ghassan Kanafani",1909,1546,RestartTheRescue|refugees,Ed_Miliband
Wed Dec 31 14:31:43 +0000 2014,5.50298E+17,Daniel Pipes: Sweden opting for suicide by #immigration? #asylum #refugees http://t.co/TIcvryc0TU via @wordpressdotcom,1,2,1209148250,Ann Corcoran 🇺🇸,RefugeeWatcher,Maryland,"Refugee Resettlement Watch is back!  The speech police thought they had killed my 12 years of work, but they have not succeeded!",1034,16527,asylum|immigration|refugees,wordpressdotcom
Wed Dec 31 10:52:55 +0000 2014,5.50243E+17,Letter writer: Refugee resettlement an affront to States' Rights #refugees #immigration http://t.co/YOpxy9tQrL via @wordpressdotcom,3,2,1209148250,Ann Corcoran 🇺🇸,RefugeeWatcher,Maryland,"Refugee Resettlement Watch is back!  The speech police thought they had killed my 12 years of work, but they have not succeeded!",1034,16527,ImmigrationAction|Migration|greece|immigration|nodetention|refugees|sans,
Thu Jan 01 15:16:26 +0000 2015,5.50672E+17,"Changes to #cdnimm to watch for in 2015, incl #ExpressEntry, gov't response to Syrian #refugees, appeal of #IFHP case http://t.co/hxXLKWrF9U",0,2,2270196721,Y.Y. Brandon Chen,YYBrandonChen,"Ottawa, Ontario, Canada","Law prof @uocommonlaw, SJD/JD/MSW from @UTLaw, with interests in health, migration, substantive equality, social justice & constitutional law. He/him.",407,974,EU|refugees|sosrefugees,
Mon Dec 29 09:49:54 +0000 2014,5.49503E+17,Συνέντευξη Τύπου για τους Σύρους πρόσφυγες την Τρίτη http://t.co/ACXYiYMVkL #syrianrefugeesgr #Syria #HumanRights #refugees #immigration,0,2,896382234,EFSYN,EFSYNTAKTON,,Η «Εφημερίδα των Συντακτών» στο Twitter,235,85464,HumanRights|Syria|immigration|refugees|syrianrefugeesgr,
Tue Dec 30 11:22:14 +0000 2014,5.49888E+17,Director of the Office or Refugee Resettlement Resigns #refugees #immigration http://t.co/waNGJDduVX via @wordpressdotcom,0,2,1209148250,Ann Corcoran 🇺🇸,RefugeeWatcher,Maryland,"Refugee Resettlement Watch is back!  The speech police thought they had killed my 12 years of work, but they have not succeeded!",1034,16527,immigration|refugees,wordpressdotcom
Mon Dec 29 12:50:22 +0000 2014,5.49548E+17,RT @ImmPolicyCenter: Pittsburgh tries to attract enterprising immigrants and #refugees → http://t.co/bKUI2BESH6 #immigration,1,1,19616851,International House,Intlhouse,"Charlotte, NC USA","We offer cultural, citizen diplomacy, English language and American civics programs & run an immigration law clinic. We’re a great place to volunteer!",358,1616,CounterJihad|Immigration|RT|Refugees|tcot,securefreedom
Thu Jan 01 21:56:13 +0000 2015,5.50773E+17,@GuardianAus @WhitefordPeter wondering when Japan will recraft it's immigration policy.Did you know that last year they accepted 9 refugees!,1,1,812474688,Croydon Cathy,croydoncathy,,"Australian working class girl made good. Member of ARM, ALP & Emily's List, Mum of 2. Bound to offend at least one tribe of followers at any one time",3657,2050,immigration,
Sat Jan 10 18:57:52 +0000 2015,5.53989E+17,You can't support Western destruction of Middle East &amp; L. America then vehemently reject immigration of refugees. The planet is only so big.,73,101,24258355,Abby Martin,AbbyMartin,LA,"Creator @EmpireFiles, Pod @MediaRootsNews, Filmmaker #GazaFightsForFreedom, Accused by US govt of “fomenting radical discontent”, Artist: http://abbymartin.org",1210,305789,auspol,
Sat Jan 10 12:27:01 +0000 2015,5.53891E+17,Department of Immigration: “Reports of a disturbance at the Manus Offshore Processing Centre are false.” #manusisland #Manus #refugees,0,8,326700625,John Flint,Flinty_01,"Perth, Western Australia","Investigative journalist with Seven West Media, Dad, Chelsea FC addict, Drummer and Rock'n'Roller. Views are my own.",950,1208,Rohingya|humanrights|immigration,
Sat Jan 10 11:39:49 +0000 2015,5.53879E+17,Senator Rand Paul has a lot of nerve to question French #immigration policy! #refugees http://t.co/lHmxYmtNo8 via @wordpressdotcom,0,6,1209148250,Ann Corcoran 🇺🇸,RefugeeWatcher,Maryland,"Refugee Resettlement Watch is back!  The speech police thought they had killed my 12 years of work, but they have not succeeded!",1034,16527,Immigration|SOSEurope|Spanish|migrants|refugees,
Sat Jan 10 10:42:41 +0000 2015,5.53864E+17,"#Turkey should create immigration policy for #Syrian refugees, report says

http://t.co/DCc50Sfn0y",1,3,1866312924,MigrationNews,MigrationNews1,Global,"Daily news on international migration, citizenship, freedom of movement, asylum, border control and integration Co-editors @daniela_vintila and @roxanabarbulesc",3958,11352,immigration|sgp,MarciaChambliss
Sat Jan 10 20:57:21 +0000 2015,5.54019E+17,No Room in America for #Christian Refugees - http://t.co/WCVSor2k58 #immigration Must read! @luchadora41 @MamaMiaNOSharia @usa4ever4life,2,2,193261562,Sue from NM,LoveAmerica615,where my heart is,"Retired RN #TrumpTrain #MAGA #TCOT #CCOT Constitutional conservative God & Country I support Troops, Veterans, LEO History is key to future. #Trump2020",8302,8082,Dänemark|Flüchtlinge|UMF,
Sat Jan 10 19:03:30 +0000 2015,5.53991E+17,You can't support Western destruction of Middle East &amp;amp; L. America then vehemently reject immigration of refugees. The planet is only so…,0,1,480845997,RAWW,R_A_W_W,"Jupiter, FL",Raising Awareness World Wide - We make our world significant by the courage of our questions and the depth or our answers. #chemtrails #politics #conspiracy,639,636,immigration,
Sat Jan 10 19:05:49 +0000 2015,5.53991E+17,RT @R_A_W_W: You can't support Western destruction of Middle East &amp;amp; L. America then vehemently reject immigration of refugees. The plan…,0,0,53235194,Travis J. Walker,travjwalk,"Jupiter, FL",#Drummer #Philosopher #FreeThinker #TruthSeeker #FormerTriathlete #NRAInstructor #CRSO #CAS #SASS #107517 | Founder @R_A_W_W,2103,2035,immigrationdetention|refugees,BrightonSanct|ussuactivities
Sat Jan 10 19:02:14 +0000 2015,5.5399E+17,RT @AbbyMartin: You can't support Western destruction of Middle East &amp; L. America then vehemently reject immigration of refugees. The plane…,0,0,813961831,BreakingTheSet,BreakingTheSet,,"Follow @abbymartin at http://facebook.com/journalistabbymartin, http://mediaroots.org & http://abbymartin.org",98,8376,,
